folder,volume_m3,slope_deg,potential_energy_MJ,plastic_energy_MJ_front,plastic_energy_MJ_rear,sleout_energy_max_J,impact_duration_s,rcforce_force_max_N,rcforce_impulse_Ns
251210_new_batch\batch_17\N016_V1147_PE1194_50deg,1147,50,1194,474.8376357217529,128.06299620434908,9726000.0,4.5009992123,17583130.229166664,2069422.268596109
251210_new_batch\batch_17\N017_V2372_PE2408_49deg,2372,49,2408,565.2735528002374,509.4139305697989,17130000.0,3.9120008945,19715258.20572933,3917301.33665851
251210_new_batch\batch_17\N018_V2693_PE2491_43deg,2693,43,2491,765.4557782758354,486.75539334020976,18970000.0,4.726999044399999,19016772.5625,4741452.9997047335
251210_new_batch\batch_17\N020_V1106_PE794_31deg,1106,31,794,74.3769212995548,80.83150478891339,3376000.0,3.8659987450000006,25762541.33333333,1306177.239034114
251210_new_batch\batch_17\N022_V4124_PE4305_51deg,4124,51,4305,778.3927580085953,754.5085524972935,25260000.0,4.7070012093,25527301.59896,6603918.770333717
251210_new_batch\batch_17\N023_V963_PE671_30deg,963,30,671,34.67656317874416,99.08944445655436,3014000.0,3.5319991111999998,16003398.666666666,982643.758403179
251210_new_batch\batch_17\N024_V3031_PE2447_36deg,3031,36,2447,773.6853950968338,561.960698797935,20290000.0,5.357002019900001,19258755.916666664,4683155.304539744
251210_new_batch\batch_17\N025_V1564_PE1743_55deg,1564,55,1743,428.35922819198544,336.0507576757844,14110000.0,4.4960007667,15772934.666666666,2872636.7127994727
251210_new_batch\batch_17\N026_V1514_PE1104_32deg,1514,32,1104,196.63707117006464,111.1152002368683,5359000.0,5.1570003032,26385093.33333333,1569236.1259443252
251210_new_batch\batch_17\N027_V3992_PE3002_33deg,3992,33,3002,779.4088073721745,675.398098620269,24640000.0,5.3770003319,18928662.666666664,5894994.01158092
251210_new_batch\batch_17\N029_V4285_PE3737_40deg,4285,40,3737,781.6539373802005,716.0530707749141,34860000.0,5.0799992084,25448127.58333333,6749436.165163556
251210_new_batch\batch_17\N030_V2170_PE1905_40deg,2170,40,1905,277.1479886151102,233.67872708395345,8814000.0,3.2250010967,25599810.666666664,2077321.1981073609
251210_new_batch\batch_17\N031_V5105_PE4100_36deg,5105,36,4100,775.6542463457126,682.7225825843869,28930000.0,5.5099992753,24393447.5,8063374.12064226
251210_new_batch\batch_17\N032_V1236_PE1330_53deg,1236,53,1330,283.37715158881747,182.4970623725788,8398000.0,4.4940009118,18879216.58333333,2096224.6659452869
251210_new_batch\batch_17\N033_V2925_PE2895_47deg,2925,47,2895,772.4135504353316,647.9339092216139,23180000.0,4.1230008602,17336449.333333332,5365402.868567131
251210_new_batch\batch_17\N034_V3539_PE2580_32deg,3539,32,2580,709.132558899261,573.8148152583725,21780000.0,5.505999803499999,21164096.0,5351661.127784321
