volume_m3,slope_deg,potential_energy_MJ,plastic_energy_MJ_front,plastic_energy_MJ_rear,sleout_energy_max_J,impact_duration_s,rcforce_force_max_N,rcforce_impulse_Ns
4147,31,2958,782.6131556,652.5966779,25670000,6.200999737,23845995.83,6174446.996
4985,46,4848,758.6988252,730.8243677,23730000,4.517001152,30790204.15,7467469.097
3855,53,4124,764.6014468,713.8310675,22760000,4.232000113,19831467,5613887.529
4001,38,3369,783.7378028,710.3938723,33580000,5.101998568,20013991.67,7126894.686
3156,52,3363,738.9302174,604.8120796,19530000,4.506999016,17899980.75,4944446.211
5427,52,5743,658.3203545,539.7879906,20830000,4.116000891,30548398.83,9912695.923
784,54,865,98.95170261,78.89284624,4802000,4.308998108,16744160,1220345.112
813,38,691,131.4695875,78.17895424,3860000,4.118000746,28667858.67,1305724.545
3477,34,2665,764.4294016,642.6749949,22010000,5.073000193,19980285.33,5309245.899
2922,57,3305,779.5822724,476.9620023,17450000,3.763999939,17802590.08,4096652.521
2429,50,2509,601.267336,585.3525278,16630000,3.989001989,18928919.54,4010459.364
3938,55,4327,769.9080594,623.5923454,19840000,4.870000124,16988185.17,5196935.951
554,49,568,88.64145059,45.22451921,2687000,1.953999996,3777797.771,378410.9623
5113,56,5669,768.4460742,594.027229,21010000,4.031000137,44890049.33,6248738.806
594,59,685,110.8436037,72.3970055,4966000,2.806999206,13238274.67,982746.437
2493,59,2855,743.2750019,489.9312085,18390000,4.562999964,17888714.5,3964159.567
2078,32,1514,326.8823184,220.4892543,9360000,6.264001369,25758349.33,3218435.676
972,32,706,133.9136386,92.15053257,4074000,5.328000546,5489824.333,892185.2672
4968,50,5115,778.746046,679.3699752,23950000,5.358999968,34519132,7068184.675
1652,36,1316,255.3838856,136.1224362,6808000,4.309999704,15876452.18,2255585.896
1603,36,1307,251.8937465,232.1605004,8129000,3.981001854,23439456,2227107.774
4881,54,5275,767.7606925,640.2803145,21400000,4.368999958,25536861.17,5795555.81
3338,34,2558,783.0206443,573.4534063,21150000,5.348999739,20890705.85,5139759.177
2902,59,3315,731.9971127,511.7671964,19500000,4.212000847,17126803.4,4165499.897
860,60,987,263.7569713,107.8051446,6183000,4.349999905,5624324.417,1125823.798
1124,34,861,131.9056269,80.92623561,3711000,4.237000227,25846282.74,1134756.253
2215,38,1861,420.0366948,371.5008934,12250000,4.724999905,24360785,3059286.441
2895,54,3147,773.365457,528.1362593,14390000,4.449998856,61249366.67,6167903.885
4218,50,4346,767.649195,572.8191993,21530000,4.383000135,19959630.17,5435387.924
797,44,756,68.3097988,86.18110171,3617000,3.662000179,21441224,946136.6253
4322,34,3311,778.4626169,697.9288931,33430000,6.050998926,20046777.71,6365139.492
2421,59,2774,768.8530141,410.7574084,16840000,3.981001139,20326071.67,3746423.139
2612,43,2418,670.1146127,515.6527707,19180000,4.392998934,25259581.33,4222751.595
933,35,742,123.8431079,110.8341965,4446000,4.366999149,19542869.18,1302410.611
4601,46,4473,776.1139029,699.1075176,33000000,4.978999853,271893013.3,65529387.08
3349,34,2575,755.9082008,537.8266994,20670000,4.704000473,21646366.25,5366868.957
4666,36,3755,785.8209379,697.7323572,30630000,5.825999975,20274805.25,6503322.56
4635,37,3820,789.0920524,711.1905097,33420000,5.216001034,202986082.7,7617750.947
3870,58,4399,780.9687614,643.5465925,22120000,4.390002012,23527843.17,5816273.61
1427,60,1666,435.10188,317.0204395,11940000,4.232000113,18935197.46,2863683.909
3331,52,3528,769.6408742,664.7741433,21950000,3.922999859,27453432.08,5994169.492
3443,55,3771,773.5176603,646.6758597,20730000,4.563999176,22473623.67,6442825.239
3003,43,2783,760.0016012,578.9219006,22960000,4.442000866,26351336.47,4407982.196
4171,39,3571,784.5732638,713.5036346,33410000,5.447999716,15878566.77,6325660.081
3601,48,3602,772.0981755,670.199776,23790000,4.306999922,17661461.54,4889345.651
2714,38,2287,676.3839801,509.0605691,18380000,5.090998888,25431715.97,4244125.647
1741,55,1902,434.7799028,499.5799567,14950000,3.802999973,17749253.83,3191195.624
4958,37,4089,759.1165932,727.1424222,35420000,5.753999949,16779765.25,7004346.274
4555,56,5049,772.3835771,687.5547231,21730000,4.974999905,22875886.79,7062021.372
2348,47,2318,674.9444649,418.4389798,17590000,5.081001043,19941009.67,4460866.724
1137,40,1002,68.61336669,94.73900915,3426000,3.871999025,23640689.47,1057703.491
4637,38,3904,777.5540309,747.6654087,28590000,5.258000374,28010120.67,6158704.88
3471,44,3251,782.939179,662.7652121,25120000,4.549999952,16784307.08,5833690.337
3295,55,3607,773.9496679,578.6338307,21400000,3.880999088,36853178,6160838.714
5399,44,5084,767.21061,710.1849924,25220000,5.592998743,21087245.33,7536934.485
3312,53,3553,778.4094783,652.4934585,21440000,5.262001753,19962680.33,5634156.5
4812,54,5211,771.4509182,566.5685841,20130000,4.634000063,22900900.35,5562930.481
3522,49,3570,779.2910269,728.5999575,24430000,4.782000065,18682281.33,6854394.721
1302,35,1036,189.2689462,85.94532068,5285000,5.182000637,24577544,1680786.173
2244,46,2191,547.0632339,498.3220876,17700000,4.719999075,22242103.75,3779771.223
3050,45,2911,773.0245621,635.2707926,21980000,4.346999168,25059755.29,5199465.103
4271,34,3291,778.9849882,723.427368,34310000,5.524998427,17785409.63,6614871.884
851,55,955,162.4816693,153.0150276,7289000,2.735998869,16075778.38,1624172.623
4121,54,4493,780.8187603,645.2276486,22000000,4.562999964,33423126.67,6297032.314
1709,33,1280,336.6090966,190.5464424,7900000,4.52300024,25290301.42,1766169.565
3440,36,2773,782.3989027,650.9493648,24570000,5.236001253,20776635.78,5839051.64
2425,51,2528,471.8618064,621.6037327,18970000,5.134997845,17621896.33,4475866.608
3091,44,2904,774.9198682,620.0301342,22650000,4.730000019,19055037.96,5533668.995
1831,42,1661,380.2061262,267.9310455,10770000,4.128000021,26681593.12,2545172.56
2946,58,3317,713.9081461,471.6124537,17960000,3.726999044,16279215.83,4586882.488
4100,40,3598,782.8167947,745.8212063,33170000,5.12399888,16230598.25,6315573.582
3978,55,4360,771.1585293,666.7223849,23830000,4.503000736,19650554.33,5518872.661
4102,56,4551,773.4801685,678.8349654,22810000,4.358000994,34352432,6654159.352
1865,51,1940,413.1901835,321.750163,13330000,4.149999142,18599377,3448379.146
5035,53,5413,772.8709377,635.754742,21730000,4.768999815,26156232,5645214.662
3136,33,2357,729.6989124,532.3454541,19980000,5.657998085,36669972,5361123.993
1904,46,1825,378.9046168,353.6884195,12580000,2.672000408,20430763.38,2874767.107
1549,50,1606,415.3136118,218.9725926,11030000,3.421999931,19332558.33,2963737.304
2402,53,2568,630.385831,556.511525,18900000,4.625000238,15509057.33,4604480.969
4737,56,5259,766.9649662,542.1478578,19770000,4.618999004,25748975.67,6301606.57
4366,32,3191,780.7434075,673.4494431,27380000,6.218000174,24043885.33,6240410.647
4152,37,3401,781.9474835,707.1137242,27850000,5.228999138,21593804.19,6700835.083
4589,48,4593,774.4805246,697.2228454,32270000,4.998001099,19001616,6522092.727
2738,53,2934,684.574381,586.8894926,20570000,5.001000881,15850576.25,4295208.826
1661,32,1213,180.0250676,188.2862441,6731000,5.720000744,26123856,2148690.882
1174,30,813,190.8371194,40.11501816,4353000,4.282999992,20929933.33,1581112.643
1373,37,1138,152.6317048,181.7013731,5503000,4.3560009,25508775.88,1628805.751
1375,43,1276,273.02654,155.5355395,7574000,4.479998827,26416770.83,2102477.302
1827,48,1817,333.1195218,293.8185805,11300000,4.626999855,18981393.67,2718352.42
899,46,884,92.08148843,77.27636155,3628000,2.377999783,23140720.23,1019312.268
4873,58,5527,763.1340802,492.6192214,19860000,4.53599906,19580195.69,5802998.98
5075,42,4609,769.3746814,698.833873,27320000,5.261999846,17977797,7104662.8
4688,59,5352,775.7132055,547.4842191,19420000,4.278999806,22800277.29,5171227.647
2704,50,2807,723.4292462,565.6573392,19390000,4.018000841,18980943.29,4779505.505
2301,44,2175,381.0704878,265.954528,11130000,4.986001968,25666920,2744732.073
3409,56,3771,765.2343715,476.5649794,19170000,4.533000946,30439886.67,5359944.431
3655,52,3875,779.7624946,635.0649627,22120000,4.101000071,23408931.33,6212344.815
2497,53,2676,759.2981155,424.8532137,17200000,4.290998936,26486623.33,3995973.685
